"1902 Goliad, Texas tornado","May 18, 1902","South Central U.S.","–","114 fatalities, ≥279 injuries","Tied with the Waco tornado as deadliest in Texas history."
"1904 Chappaqua tornado","July 16, 1904","New York","1","2 fatalities","F3 struck upstate New York."
"1904 St. Louis tornado","August 19, 1904","Missouri – Illinois","1","3 fatalities, ≥10 injuries","Heavy damage in downtown St. Louis."
"1905 Snyder, Oklahoma tornado","May 10, 1905","Oklahoma","≥1","97 fatalities, ≥150 injuries","F5 largely destroyed Snyder, Oklahoma."
"1908 Dixie tornado outbreak","April 23–25, 1908","Southeastern United States","–","324 fatalities, ≥1,720 injuries","Tied with the 2011 Super Outbreak for fourth-deadliest US tornado outbreak. Produced numerous violent tornadoes in the Southern United States and Great Plains, including an F5 in Nebraska. One long-track tornado killed 143 people alone in Louisiana and Mississippi. See, e.g., Wilmer, Louisiana."
"Late-April 1909 tornado outbreak","April 29 – May 1, 1909","Mississippi – Tennessee Valley","–","≥165 fatalities, ≥696 injuries","Produced numerous killer tornadoes across the Southern United States. Two tornadoes in Mississippi and Alabama killed 29 each."
"November 1911 tornado outbreak","November 11, 1911","Midwestern United States","≥9","13 fatalities, 117 injuries","Outbreak was produced by a large and dynamic storm system. F4 struck Janesville, Wisconsin, and killed nine people. Other killer tornadoes occurred in Illinois and Michigan. (9 significant, 1 violent, 3 killer)"
"April 20‑22, 1912 tornado outbreak","April 20–22, 1912","Southern-Central Great Plains – Middle Mississippi Valley – Southeastern United States","–","≥56 fatalities, injuries","Numerous violent tornadoes in North Texas, Oklahoma, and Kansas, including what is now the Dallas–Fort Worth metroplex. (≥30 significant, 9 violent, ≥19 killer)"
"April 27–29, 1912 tornado outbreak","April 27–29, 1912","Southern-Central Great Plains – Red River basin – Ark-La-Miss region","–","≥45 fatalities, 167 injuries","Violent tornadoes struck portions of the Great Plains, mainly in Oklahoma. (25 significant, 8 violent, 15 killer)"
"Regina Cyclone","June 30, 1912","Saskatchewan, Canada – Canadian Prairies –","1","28 fatalities, hundreds injured","Deadliest tornado in Canada, F4 left 2,500 people homeless."
"Mid-March 1913 tornado outbreak","March 13–14, 1913","Southeastern United States – Middle Mississippi Valley","–","78 fatalities, ≥492 injuries","Produced deadly, long-tracked F3+ tornadoes in Tennessee. (20 significant, 3 violent, 16 killer)"
"March 1913 tornado outbreak sequence","March 20–23, 1913","Southeastern United States – Central Great Plains – Middle Mississippi Valley","–","≥ 241 fatalities, ≥ 1,535 injuries","Produced the devastating Omaha tornado (103 deaths), among several other violent and deadly tornadoes in Nebraska. Other violent tornadoes killed numerous people in Alabama and one in Terre Haute, Indiana, killed 21. (19 significant, 7 violent, 15 killer)"
"June 1916 tornado outbreak","June 5–6, 1916","Mississippi Valley – Southern U.S.","–","112 fatalities, 741 injuries","Produced numerous killer tornadoes in Arkansas, including one that killed 25 people. An F3 killed 13 people in the northern suburbs of Jackson, Mississippi. (35 significant, 1 violent, 23 killer)"
"February 1917 Southeast tornado outbreak","February 23, 1917","Southeastern United States","–","17 fatalities, 81 injuries","Six strong tornadoes touched down across the South."
"1917 New Albany, Indiana tornado","March 23, 1917","Ohio Valley","–","47 fatalities, 311 injuries","F4 tornado devastated the town. Destroyed two schools and a wood shop. At least 300 homes were destroyed, some swept away."
"May–June 1917 tornado outbreak sequence","May 25 – June 1, 1917","Central – Southeastern United States","≥ 73",">382 fatalities","One of the deadliest tornado outbreak sequences in US history. An F5 killed 23 people in Kansas. One tornado family in Illinois killed 101 people alone. A long-track tornado killed 67 people, mostly in Kentucky. (63 significant, 15 violent, 35 killer)"
"May 1918 tornado outbreak sequence","May 18–21, 1918","Central-Northern Great Plains – Upper Midwest","–","44 fatalities, 340 injuries","(≥34 significant, 5 violent, 13 killer)"
"1918 Tyler tornado","August 21, 1918","Tyler, Minnesota","–","36 killed, 225 injured","F4 tornado killed 36 people in and near Tyler."
"March 1919 tornado outbreak","March 14–16, 1919","Central United States","–","53 fatalities, 219 injuries","(4 violent, 18 killer)"
"April 1919 tornado outbreak","April 8–9, 1919","Southern Great Plains","–","92 fatalities, 412 injuries","Unusual nocturnal outbreak produced numerous violent, large, long-tracked tornadoes in East Texas. (4 violent, 10 killer)"
"1919 Fergus Falls tornado","June 22, 1919","Fergus Falls, Minnesota","–","57 fatalities, 200 injured","F5 tornado leveled many homes in Fergus Falls, killing 57 people. 35 of the deaths were at the three story Grand Hotel, which was completely destroyed."
"1920 Palm Sunday tornado outbreak","March 28, 1920","Midwest – Southeast","–","≥380 fatalities, ≥1215 injuries","First and deadliest of the Palm Sunday outbreaks; one of the deadliest outbreaks in US history. Tornadoes devastated the Great Lakes and Ohio Valley, including parts of the Chicago metropolitan area. Other long-track killer tornadoes tore across the Southern states. Official death toll is uncertain and may be considerably higher than what is listed. (32 significant, 8 violent, 19 killer)"
"April 1920 tornado outbreak","April 19–21, 1920","Southeastern United States","–","224 fatalities, 1374 injuries","Several violent, long-track tornadoes touched down across the South, killing numerous people. Mississippi and Alabama were the hardest hit, with multiple tornadoes producing double-digit death tolls, including one that killed 88 people alone. (14 significant, 7 violent, 9 killer)"
"April 1921 tornado outbreak","April 15–16, 1921","Southern U.S.","–","90 fatalities, 676 injuries","Violent, long-tracked tornado killed 59 people in Texas and Arkansas. (34 significant, 1 violent, 17 killer)"
"1922 Austin twin tornadoes","May 4, 1922","Texas","2","13 fatalities, 50 injuries","(Deadliest tornadoes in Austin history)"
"May 1923 Great Plains tornado outbreak","May 2, 1923","Great Plains","4","17 fatalities, 68 injuries","(1 violent, 4 killer)"
"April 1924 tornado outbreak","April 30, 1924","Southeastern United States","–","110 fatalities, 1133 injuries","Long-tracked tornado family killed seven people at a school in Horrell Hill, South Carolina. Multiple violent killer tornadoes struck the Carolinas and Georgia."
"1924 Lorain–Sandusky tornado","June 28, 1924","Eastern Great Lakes","–","90 fatalities, 349 injuries","Deadliest tornado in Ohio history, estimated to have been an F4."
"Tri-State Tornado","March 18, 1925","Middle Mississippi – Ohio Valley","≥","≥747 fatalities, ≥2298 injuries","Part of a deadly outbreak, including the deadliest and longest-tracked tornado in US history. A massive F5 tornado traveled 219 mi (352 km) across the three states of Missouri, Illinois, and Indiana, killing 695 people. Third-costliest US tornado ever. Other violent tornadoes hit Kentucky and Tennessee, including a long-tracked F4 that killed 38 people."
"1926 La Plata, Maryland tornado outbreak","November 9, 1926","Mid-Atlantic","–","17 fatalities, 65 injuries","17 people killed at schools in La Plata. An F4 tornado also hit the area on April 28, 2002."
"Late-November 1926 tornado outbreak","November 25–26, 1926","South","–","107 fatalities, 451 injuries","Deadliest November tornado outbreak in the US, produced several long-tracked, strong, killer tornadoes. (27 significant, 2 violent, 18 killer)"
"1927 Rocksprings, Texas tornado","April 12, 1927","Southern Great Plains","–","74 fatalities, 205 injuries","A large F5 tornado struck Rocksprings, Texas, destroying 235 of 247 buildings in town. (1 violent, 1 killer)"
"April 1927 Southern Plains-Midwest tornado outbreak","April 18–19, 1927","Southern Great Plains – Midwest","–","≥46 fatalities, ≥235 injuries","(16 significant, 3 violent, 5 killer)"
"May 1927 tornado outbreak","May 8–9, 1927","Great Plains – Mississippi Valley","–","217 fatalities, 1156 injuries","One of the most prolific outbreaks in US history. A long-tracked F5 on May 7 in Kansas killed 10 people and injured 300. Other deadly tornadoes hit Missouri, Illinois, and Arkansas including an F4 on May 9 that devastated Poplar Bluff, Missouri, killing 98 people. (32 significant, 8 violent, 17 killer)"
"1927 St. Louis tornado outbreak","September 29, 1927","Middle-Lower Mississippi Valley","–","82 fatalities, 620 injuries","Produced a devastating tornado that struck St. Louis and killed 79 people. Estimated to have been an F3, but may have been an F4."
"September 1928 Upper Plains-Midwest tornado outbreak","September 13–14, 1928","Upper Great Plains – Midwest","–","23 fatalities, 197 injuries","Most intense September outbreak in US history. Several violent tornadoes, including one F4 that hit Rockford, Illinois. (15 significant, 3 violent, 3 killer)"
"January 1929 Mid-Mississippi Valley tornado outbreak","January 18, 1929","Middle Mississippi Valley","–","10 fatalities, 46 injuries","(7 significant, 5 killer)"
"1929 Slocum, Texas-Statesboro, Georgia tornado outbreaks","April 24–25, 1929","Great Plains – Midwest – Southeast","–","63 fatalities, 567 injuries","(15 significant, 4 violent, 7 killer)"
"1929 Rye Cove, Virginia tornado outbreak","May 1–2, 1929","Southern – Eastern United States","–","44 fatalities, 349 injuries","13 people killed at school in Rye Cove, Virginia. (17 significant, 10 killer)"
"May 1930 tornado outbreak sequence","May 1–2 & 5–6, 1930","Great Plains – Mississippi Valley","–","94 fatalities, 520 injuries","Very intense and prolific outbreak sequence including a deadly F4 tornado in Frost, Texas, which resulted in 41 fatalities. (51 significant, 11 violent, 15 killer)"
"November 1930 Southern Plains tornado outbreak","November 19, 1930","Southern Great Plains","–","24 fatalities, 162 injuries","Morning F4 tornado kills 23 people in Bethany, Oklahoma. (8 significant, 1 violent, 2 killer)"
"1932 Deep South tornado outbreak","March 21–22, 1932","Southeastern United States","–","≥330 fatalities, 2145 injuries","One of the most intense outbreaks in US history, produced 10 violent tornadoes. Third-deadliest continuous tornado outbreak in US history. Hundreds of people were killed by violent tornadoes across the Southern United States. Deadliest Alabama outbreak with 268 fatalities. (36 significant, 10 violent, 27 killer)"
"March 1933 Nashville tornado outbreak","March 14, 1933","Tennessee Valley","–","44 fatalities, 461 injuries","Destructive F3 tornado through downtown Nashville, killing 11 people. Other tornadoes touched down across the Ohio Valley, including an F4 that killed 12."
"Late-March 1933 tornado outbreak","March 30–31, 1933","Southeast","–","87 fatalities, 620 injuries","(30 significant, 1 violent, 16 killer)"
"Early-May 1933 tornado outbreak sequence","May 4–10, 1933","South","","128 fatalities","Produced an F4 that struck Tompkinsville, Kentucky, and killed 36 people. Another F4 struck rural Tennessee and killed 35. Numerous other killer tornadoes touched down across the Southern United States. (27 significant, 3 violent, 10 killer)"
"1936 Cordele-Greensboro tornado outbreak","April 1–2, 1936","Southeast","–","45 fatalities, 568 injuries","Produced multiple killer tornadoes in Georgia and the Carolinas. An F4 tornado in Cordele, Georgia, killed 23 people. (8 significant, 3 violent, 10 killer)"
"1936 Tupelo-Gainesville tornado outbreak","April 5–6, 1936","Southeastern United States","17","454 fatalities, 2498 injuries","Second-deadliest continuous tornado outbreak in US history. Several strong and deadly tornadoes were observed across the South. Two of the individual tornadoes killed well over 200 people each. (12 significant, 3 violent, 11 killer)"
"1938 Bakerville, Missouri tornado outbreak","March 15, 1938","Mississippi Valley","–","24 fatalities, 200 injuries","(14 significant, 2 violent, 6 killer)"
"Late-March 1938 tornado outbreak","March 30–31, 1938","Southern Plains – Mississippi Valley","–","40 fatalities, 548 injuries","An F3 tornado in South Pekin, Illinois destroyed the town and killed 9. Remains Central Illinois' deadliest tornado after 75 years, (26 significant, 3 violent, 9 killer)"
"1938 Oshkosh, Nebraska tornado outbreak","April 26, 1938","Great Plains","–","6 fatalities, 39 injuries","F5 near Oshkosh killed three students at a leveled school. Several other strong tornadoes were observed that day, killing three others."
"1938 Charleston, South Carolina tornadoes","September 29, 1938","South Carolina","–","32 fatalities, 100 injuries","(2 killers)"
"April 1939 tornado outbreak sequence","April 14–17, 1939","Great Plains – Mississippi Valley","–","57 fatalities, 316 injuries","Included a long-tracked F5 tornado family on April 14 in Oklahoma and Kansas that killed seven people. (25 significant, 3 violent, 11 killer)"
"February 1942 tornado outbreak","February 5–6, 1942","Southeast","–","22 fatalities, 330 injuries","(22 significant, 9 killer)"
"March 1942 tornado outbreak","March 16, 1942","Central – Southern U.S.","–","148 fatalities, ≥1284 injuries","Produced a deadly tornado family in Mississippi that killed 63 people. An F5 struck Lacon, Illinois, killing eight people. A long-tracked F4 killed 15 people in Tennessee. (25 significant, 7 violent, 18 killer)"
"April–May 1942 tornado outbreak sequence","April 27–30 & May 2, 1942","Great Plains","–","123 fatalities, ≥839 injuries","Included six F4s that devastated northeast Oklahoma and southeast Kansas on May 2. (20 significant, 11 violent, 17 killer)"
"January 1944 Oklahoma tornado outbreak","January 26. 1944","Southern Great Plains","–","2 fatalities, 40 injuries","(8 significant, 2 killer)"
"1944 Appalachians tornado outbreak","June 22–23, 1944","Great Lakes – Mid-Atlantic","–","163 fatalities, ≥1044 injuries","100 died in a single tornado in West Virginia, the deadliest in the state's history. Other deadly tornadoes were observed in Pennsylvania and Maryland. First of two violent outbreaks in Pennsylvania, the other occurring on May 31, 1985, with an F5 tornado hitting Wheatland, Pennsylvania."
"April 1945 tornado outbreak","April 12, 1945","Southern Great Plains – Mississippi Valley","–","128 fatalities, 1001 injuries","A large and deadly F5 struck Antlers, Oklahoma, killing at least 67 people. (17 significant, 5 violent, 10 killer)."
"1946 Windsor–Tecumseh tornado","June 17, 1946","River Rouge, Michigan, Windsor, Ontario","–","17 dead, dozens injured","Third-deadliest tornado in Canadian history, formed in River Rouge, Michigan. May have been an F5."
"January 1947 tornado outbreak","January 29–30, 1947","Mississippi Valley – Southeast","–","8 fatalities, 155 injuries","(15 significant, 1 violent, 5 killer)"
"1947 Glazier–Higgins–Woodward tornadoes","April 9–10, 1947","Southern Great Plains","–","181 fatalities, 980 injuries","Deadly tornado family devastated multiple towns in Texas and Oklahoma, producing F5 damage. Entire communities were either partly or totally swept away in both states."
"1947 New Year's Eve tornado outbreak","December 31, 1947","Southern U.S.","–","20 fatalities, 256 injuries","(7 significant, 1 violent, 3 killer)"
"1948 Alton-Bunker Hill-Gillespie tornado outbreak","March 18–19, 1948","Great Plains – Middle Mississippi Valley","–","43 fatalities, ≥566 injuries","Early-morning F4 killed 33 people in Illinois. (25 significant, 3 violent, 5 killer)"
"1948 Tinker Air Force Base tornadoes","March 20 & 25, 1948","Oklahoma City","–","","First successful tornado prediction in history."
"Late-March 1948 tornado outbreak","March 25–27, 1948","Central United States","–","37 fatalities, 321 injuries","(19 significant, 3 violent, 5 killer)"
"February 12, 1950 tornado outbreak","February 12, 1950","Lower-Middle Mississippi Valley","13","36 fatalities, 169+ injuries","A tornado outbreak caused several long–tracked, deadly tornadoes that touched down in Louisiana, Texas, Mississippi, and Arkansas."
"March 1952 Southern United States tornado outbreak","March 21–22, 1952","Lower-Middle Mississippi Valley","34","209 fatalities","Fourth-most violent outbreak in U.S. since 1950 with 11 F4 tornadoes, most intense ever in Arkansas. F4 tornadoes that struck Judsonia and Cotton Plant killed a total of 79 people. Other F4s struck Tennessee and northern Mississippi."
"April - May 1953 tornado outbreak sequence","April 28 – May 2, 1953","Southeastern United States","24","37 fatalities, 366 injuries","(17 significant, 5 violent, 9 killer)"
"1953 Waco tornado outbreak","May 9–11, 1953","Southern-Central Great Plains / Upper Mississippi Valley","33","144 fatalities, 901 injuries","Produced an F5 tornado in Waco, Texas, killing 114 people. Tied for deadliest tornado in Texas history and tenth deadliest in United States. Other deadly tornadoes struck Hebron, Nebraska, and San Angelo, Texas."
"Flint–Worcester tornado outbreak sequence","June 7–9, 1953","Central Great Plains – Great Lakes – New England","46","247 fatalities","Numerous tornadoes struck the Great Plains and Midwestern United States. The Flint-Beecher F5 produced the last 100+ death toll for a single tornado in US history until the 2011 Joplin tornado. A tornado that struck Worcester, Massachusetts, killed 94 people and may have been an F5 as well. A tornado family killed 18 people in northern Ohio as well."
"1953 Vicksburg, Mississippi tornadoes","December 5, 1953","Louisiana – Mississippi","4","38 fatalities","Small outbreak produced a violent tornado that struck downtown Vicksburg. Produced one of only two official December F5 tornadoes in US history, though the rating is disputed. (4 significant, 1 violent killer)"
"April 1954 tornado outbreak","April 1954","Antlers, Oklahoma","40","40 fatalities","Another tornado was in Antlers, Oklahoma was tied on April 1945, since April 1945 tornado outbreak."
"1955 Great Plains tornado outbreak","May 25–26, 1955","Great Plains – Midwest – Mississippi Valley","47","102 fatalities","One of the deadliest Plains outbreaks on record. An F5 tornado struck Blackwell, Oklahoma, killing 20 people. Another F5 from the same storm struck Udall, Kansas, killing 80."
"February 1956 tornado outbreak","February 24–25, 1956","Central United States","23","6 fatalities","(14 significant, 2 violent killers)"
"Early-April 1957 tornado outbreak sequence","April 2, 1957","Texas – Oklahoma","28","17 fatalities","A widely photographed and -filmed F3 tornado struck Dallas and killed 10 people. Other violent and deadly tornadoes struck Oklahoma."
"April 1957 Southeastern United States tornado outbreak","April 8, 1957","Alabama – Georgia – North Carolina – South Carolina – Tennessee – Virginia","≥18","7 fatalities","Produced several destructive tornadoes across the Southern United States and the Carolinas. The town of Jefferson, South Carolina, was devastated."
"1957 Lubbock tornado outbreak","April 21, 1957","Texas","11","0 fatalities","Violent tornadoes took unusual paths to the north-northwest. (4 significant, 2 violent)"
"1957 Silverton, Texas tornado outbreak","May 15, 1957","Texas","12","21 fatalities","F4 tornado struck Silverton, Texas. (6 significant, 1 violent, 2 killer)"
"May 1957 Central Plains tornado outbreak","May 19–21, 1957","Central Great Plains – Middle-Upper Mississippi Valley","57","59 fatalities","Produced numerous tornadoes across the Great Plains states, including an F5 that ripped through several Kansas City suburbs and killed 44 people. Other deadly tornadoes touched down in Missouri."
"Late-May 1957 tornado outbreak","May 24–25, 1957","New Mexico and southern Great Plains","37","4 fatalities","Produced several strong tornadoes across the southern Great Plains. An F3 caused severe damage in Olton, Texas, and an F4 killed four people near Lawton, Oklahoma."
"1957 Fargo tornado","June 20, 1957","Northern Great Plains","–","10 fatalities","May have been one of the most intense tornadoes in US history, an F5 that killed 10 people in Fargo, North Dakota."
"November 1957 tornado outbreak","November 7–8, 1957","Southeastern United States","20","12 fatalities","(12 significant, 1 violent, 5 killer)"
"December 1957 tornado outbreak sequence","December 18–19, 1957","Missouri, Illinois, Arkansas, Tennessee, Alabama","37","19 fatalities","Includes the most intense December outbreak in the contiguous United States and the most intense Illinois tornado outbreak in any month. Long-track F4 struck several of the towns hit by the Tri-State Tornado and an F5 completely destroyed Sunfield, Illinois."
"April 1958 Florida tornado outbreak","April 15, 1958","Florida and Georgia","5","0 fatalities, 65–72 injuries","Produced one of only two known F4 tornadoes in Florida. (3 significant, 1 violent)"
"1958 Colfax, Wisconsin tornado outbreak","June 4, 1958","Minnesota – Wisconsin","10","28 fatalities","Produced a series of strong and destructive tornadoes in Wisconsin, including an F5 that devastated the town of Colfax."
"April 1959 tornado outbreak","April 1959","Great Plains –","36","0 fatalities","(14 significant)"
"May 1960 tornado outbreak sequence","May 4–6, 1960","Southern Great Plains, South, Midwest","66","33 fatalities","Produced numerous violent and killer tornadoes, especially in Oklahoma. An F5 killed five people and produced extreme damage near Prague and Iron Post. An F4 struck Wilburton and killed 16. (41 significant, 5 violent, 8 killer)"
"Hurricane Carla","September 1961","Southern U.S.","8","–","Produced several strong tornadoes, including an F4 killer tornado that hit Galveston, Texas."
"1964 Wichita Falls Tornado","April 3, 1964","Wichita Falls, Texas","–","7 dead, 100+ injured","Was rated F5. First tornado ever captured on live television. First of two violent tornadoes to hit Wichita Falls, the other—an F4 that killed 42—occurring on April 10, 1979."
"1964 Michigan tornado","May 8, 1964","Metro Detroit","1","11 fatalities","F4 tornado struck suburban areas of metropolitan Detroit in Macomb and St. Clair Counties, before continuing into Lambton County in Ontario."
"February 1965 South Florida tornado outbreak","February 23, 1965","Southern Florida","4","0 fatalities, 8 injuries","Produced an unusually strong tornado in South Florida, an F3 that hit Fort Lauderdale. (2 significant, 0 violent, 0 killer)"
"1965 Palm Sunday tornado outbreak","April 11–12, 1965","Central United States","47","256–271 fatalities","Among the most intense outbreaks ever recorded. Numerous violent and long-track tornadoes, some possibly F5s, tore across the Great Lakes states, killing hundreds of people. Two violent F4s hit Dunlap, Indiana, killing 51 people there. Two F4s with parallel paths in Michigan killed 44 people. Deadly tornadoes also impacted the Cleveland and Toledo areas. (32 significant, 17 violent, 21 killer)"
"Early-May 1965 tornado outbreak sequence","May 6–8, 1965","Minnesota, Front Range, Great Plains","50","17 fatalities","Included the 1965 Twin Cities tornado outbreak, in which a series of violent tornadoes struck the Twin Cities metro area on May 6, devastating Fridley and Golden Valley. A violent outbreak occurred on May 8 in Nebraska and South Dakota, including a massive F5 tornado in Tripp County and two long-tracked F4s, one of which almost obliterated Primrose, killing four people. (28 significant, 7 violent, 5 killer)"
"Late-May 1965 tornado outbreak","May 25–26, 1965","Great Plains","51","0 fatalities","Produced multiple strong tornadoes in the Great Plains, including an F3 near Pratt, Kansas."
"1966 Candlestick Park tornado","March 3, 1966","Mississippi – Alabama","1","58 fatalities","Extremely violent F5 tornado or tornado family that killed 57 people and traveled 202.5 mi (325.9 km) across Mississippi and Alabama, one of the longest such paths on record. One of only four official F5s to hit Mississippi."
"1966 Tampa tornado family","April 4, 1966","Central Florida, I-4 corridor","2","11 fatalities","Third-deadliest tornado event in Florida, behind those of February 2, 2007, and February 22–23, 1998. Produced at least two long-tracked tornadoes, including one of only two F4s in Florida history, killing 11 people. Affected major urban areas in Tampa and Greater Orlando, but crossed the entire state as well."
"June 1966 tornado outbreak sequence","June 8–9, 1966","Kansas – Illinois","57","18 fatalities","Outbreak sequence produced a series of tornadoes across the Great Plains states. An F5 devastated downtown Topeka, Kansas, killing 16 people and disproving myths about the city's being protected. A large F3 also hit Manhattan, Kansas."
